,NO,song,resource
,1,Dreamers_(Jungkook_song),Wiki
,2,That_That_(Prod._%26_Feat._SUGA_of_BTS),Wiki_f
,3,Run_BTS,Wiki
,4,Dynamite_(BTS_song),Wiki
,5,Butter_(song),Wiki
,6,Left_and_Right_(Feat._Jung_Kook_of_BTS),Wiki_f
,7,Boy_with_Luv,Wiki
,8,Spring_Day_(song),Wiki
,9,Permission_to_Dance,Wiki
,10,Yet_to_Come_(The_Most_Beautiful_Moment),Wiki
,11,DNA_(BTS_song),Wiki
,12,Idol_(BTS_song),Wiki
,13,Mikrokosmos,Wiki_f
,14,The_Truth_Untold,Wiki_f
,15,Fire_(BTS_song),Wiki
,16,My_Universe_(song),Wiki
,17,Mic_Drop_(song),Wiki
,18,Fake_Love_(BTS_song),Wiki
,19,I_Need_U_(BTS_song),Wiki
,20,Blood_Sweat_%26_Tears_(song),Wiki
,21,Answer:_Love_Myself,Wiki_f
,22,Life_Goes_On_(BTS_song),Wiki
,23,Save_Me,Wiki_f
,24,Dynamite_(Holiday_Remix),Wiki_f
,25,Moon,Wiki_f
,26,00:00_(Zero_O%27Clock),Wiki_f
,27,I%27m_Fine,Wiki_f
,28,Epiphany,Wiki_f
,29,Love_Maze,Wiki_f
,30,Dope,Wiki_f
,31,Friends,Wiki_f
,32,Blue_%26_Grey,Wiki_f
,33,Make_It_Right,Wiki_f
,34,Make_It_Right,Wiki_f
,35,Boy_In_Luv,Wiki_f
,36,Magic_Shop,Wiki_f
,37,Butterfly,Wiki_f
,38,Like,Wiki_f
,39,Anpanman,Wiki_f
,40,Not_Today,Wiki_f
,41,Black_Swan,Wiki_f
,42,Best_Of_Me,Wiki_f
,43,Filter,Wiki_f
,45,Awake,Wiki_f
,46,Epilogue:_Young_Forever,Wiki_f
,47,Pied_Piper,Wiki_f
,48,Telepathy,Wiki_f
,49,We_are_Bulletproof:_the_Eternal,Wiki_f
,50,Paradise,Wiki_f