,NO,song,resource,Web
,1,POP!,Wiki_f,https://twice.fandom.com/wiki/POP!
,2,Talk_That_Talk,Wiki_f,https://twice.fandom.com/wiki/Talk_That_Talk
,3,Merry_%26_Happy,Wiki_f,https://twice.fandom.com/wiki/Merry_%26_Happy
,4,Alcohol-Free,Wiki_f,https://twice.fandom.com/wiki/Alcohol-Free
,5,Dance_The_Night_Away,Wiki_f,https://twice.fandom.com/wiki/Dance_The_Night_Away
,6,Cheer_Up,Wiki_f,https://twice.fandom.com/wiki/Cheer_Up
,7,Heart_Shaker,Wiki_f,https://twice.fandom.com/wiki/Heart_Shaker
,8,What_Is_Love%3F,Wiki_f,https://twice.fandom.com/wiki/What_Is_Love%3F
,9,Fancy,Wiki_f,https://twice.fandom.com/wiki/Fancy
,10,Yes_Or_Yes,Wiki_f,https://twice.fandom.com/wiki/Yes_Or_Yes